"part","page","change","year","fedreg_number"
"204.51","3534","unknown","1957","22"
"204.52","1113","unknown","1957","22"
"204.53","3534","unknown","1957","22"
"207.52","4496","unknown","1957","22"
"207.53","9726","unknown","1957","22"
"210.52","4496","unknown","1957","22"
"210.53","9726","unknown","1957","22"
"217.113","2533","unknown","1957","22"
"220.4","3699","unknown","1957","22"
"220.113","5954","unknown","1957","22"
"222.8","2341","unknown","1957","22"
"222.102","2533","unknown","1957","22"
"222.103","7461","unknown","1957","22"
"224.2-224.4","7101, 9918","unknown","1957","22"
"224.5","7101, 9918","unknown","1957","22"
"224.6","7101, 9918","unknown","1957","22"
