"X","Part.Number","Change","Page","FedReg_Number","Year"
1,"204.2","(b) revised","1796",29,1964
2,"204.108","Added","398",29,1964
3,"204.109","Added","2447",29,1964
4,"204.11","Added","13604, 14436",29,1964
5,"207.3","(a) and (b) revised","12360",29,1964
6,"208.108","Added","398",29,1964
7,"208.109","Added","6061",29,1964
8,"208.11","Added","7816",29,1964
9,"208.111","Added","7817",29,1964
10,"208.112","Added","9787",29,1964
11,"208.113","Added","11177",29,1964
12,"208.114","Added","15019",29,1964
13,"208.115","Added","15253",29,1964
14,"210.5","(a) through (i) redesignated as (b) through (j), respectively; introductory text redesignated as (a); newly redesignated (a) and (b) revised","12360",29,1964
15,"210.101","Added","2447",29,1964
16,"210.102","Added","2447",29,1964
17,"211.101","Added","14874",29,1964
18,"213.101","Added","2448",29,1964
19,"215.103","Added","2448",29,1964
20,"215.104","Added","2448",29,1964
21,"215.105","Added","2448",29,1964
22,"217.6","Revised","15944",29,1964
23,"217.135","Added","398",29,1964
24,"217.136","Added","8003",29,1964
25,"217.137","Added","11150",29,1964
26,"217.138","Added","13604",29,1964
27,"217.139","Added","16317",29,1964
28,"218.108","Added","5315",29,1964
29,"218.109","Added","16065",29,1964
30,"219.101","Corrected","6535",29,1964
31,"219.103","Added","5225",29,1964
32,"222.117","Added","5161",29,1964
33,"222.118","Added","12361",29,1964
34,"224.2","Revised","16855",29,1964
35,"224.3","Revised","16855",29,1964
36,"224.4","Revised","16855",29,1964
1,"201.104","Added","11949",30,1965
2,"204.56","Added","6339",30,1965
3,"204.57","Added","14489",30,1965
4,"206","Added","362",30,1965
5,"206.45","Added","15089",30,1965
6,"206.101","Added","6731",30,1965
7,"206.102","Added","15089",30,1965
8,"206.103","Added","15286",30,1965
9,"208.116","Added","3525",30,1965
10,"208.117","Added","14552",30,1965
11,"213.4","(g) added","2854",30,1965
12,"215.106","Added","14552",30,1965
13,"217.3","(a) revised","9978",30,1965
14,"217.6","Revised","15286",30,1965
15,"217.14","Added","5574",30,1965
16,"218.2","Revised","14639",30,1965
17,"218.11","Added","7743",30,1965
18,"218.111","Added","12836",30,1965
19,"220.4","(c)(3) revised","5826",30,1965
20,"221.115","Added","3812",30,1965
21,"222.119","Added","14273",30,1965
22,"224.2","Revised","15735",30,1965
23,"224.3","Revised","15735",30,1965
24,"224.4","Revised","15735",30,1965
25,"261.2","(d)(2)(v) amended","12248",30,1965
26,"262.2","(f)(7) revised","12248",30,1965
1,"201.105","Added","1001",31,1966
2,"201.106","Added","4390",31,1966
3,"201.107","Added","5443",31,1966
4,"204","Amended","15794",31,1966
5,"204.1","(f) through (i) redesignated as (g) through (j), respectively; new (f) added","9103",31,1966
6,"204.1","(d) and (e) revised","15793",31,1966
7,"204.1","(i) amended","16310",31,1966
8,"204.2","(b) and (d) amended","16310",31,1966
9,"204.3","Amended","16310",31,1966
10,"204.5","Revised","9103",31,1966
11,"204.5","Revised","11172",31,1966
12,"204.5","Revised","15793",31,1966
13,"204.51","Amended","16310",31,1966
14,"204.111","Added","8060",31,1966
15,"208.9","(c) added","12514",31,1966
16,"208.118","Added","7224",31,1966
17,"208.119","Added","10021",31,1966
18,"208.119","(g) corrected","10356",31,1966
19,"208.12","Added","13985",31,1966
20,"211.102","Added","14259",31,1966
21,"215.107","Added","10179",31,1966
22,"216","Terminated","9445",31,1966
23,"217","Amended","15794",31,1966
24,"217.1","(f) added","9103",31,1966
25,"217.1","(g) added","10022",31,1966
26,"217.1","(d) and (e) revised","15793",31,1966
27,"217.2","Revised","16311",31,1966
28,"217.3","Amended","16311",31,1966
29,"217.5","Revised","15794",31,1966
30,"217.6","Revised","10022",31,1966
31,"217.6","Revised","12676",31,1966
32,"217.141","Added","10315",31,1966
33,"218.2","Revised","1175",31,1966
34,"218.2","Revised","5482",31,1966
35,"218.2","Revised","9976",31,1966
36,"220.121","Added","7169",31,1966
37,"221.51","Deleted","5443",31,1966
38,"222.12","Added","4277",31,1966
39,"222.121","Added","10263",31,1966
40,"262.2","(f)(5) revised","4197",31,1966
41,"262.2","(f)(5)(ii) corrected","4390",31,1966
42,"264","Added","3446",31,1966
1,"204.5","Revised","3763",32,1967
2,"204.11","Revoked","854",32,1967
3,"206.2","(ff) added","17469",32,1967
4,"206.4","(a) revised","6552",32,1967
5,"206.5","(d)(1) and (3) revised; (k) added","17469",32,1967
6,"206.46","Added","6652",32,1967
7,"207","Revoked","10912",32,1967
8,"208.112","Revoked","854",32,1967
9,"208.121","Added","11208",32,1967
