"","Part","Change","Page","FedReg_Number","Year"
"1","201.2"," (e) revised","35128",39,"1974"
"2","201.3"," (b) revised","39031",39,"1974"
"3","201.51"," Revised","16873, 44422",39,"1974"
"4","201.52"," Revised","16873, 38087, 44422",39,"1974"
"5","201.53"," Revised","16873, 38087, 44422",39,"1974"
"6","202"," Removed","11873",39,"1974"
"7","203"," Removed","11873",39,"1974"
"8","204.1"," (f)(5) amended","34020",39,"1974"
"9","204.1"," (e)(1) revised","43056",39,"1974"
"10","204.5"," (a)(1)(ii) and (2)(ii) revised","33202",39,"1974"
"11","204.5"," (a)(1)(ii) and (2)(ii) and (iii) revised","40581, 40939",39,"1974"
"12","204.1(c)","revised","41984",39,"1974"
"13","204.110","Added","34020",39,"1974"
"14","206.7(c)(9)(viii)","revised","29916",39,"1974"
"15","207.2(f)(4)","revised","24220",39,"1974"
"16","207.5(a)","revised","1006, 1974",39,"1974"
"17","207.5(d) and (e)","revised","24220",39,"1974"
"18","207.5(f)","revised","39433",39,"1974"
"19","207.108","Added","9425",39,"1974"
"20","207.109","Added","43815",39,"1974"
"21","208.8","Redesignated as 208.9; new 208.8 added","5482",39,"1974"
"22","208.8(c) and (d)","revised","29916",39,"1974"
"23","208.8(e)(4)","added","34020",39,"1974"
"24","208.9(b) and (c)","revised","788",39,"1974"
"25","208.9(b)(2)","amended","1974",39,"1974"
"26","208.9","Redesignated as 208.10; redesignated from 208.8","5482",39,"1974"
"27","208.10","Redesignated as 208.11; redesignated from 208.9","5482",39,"1974"
"28","208.11","Redesignated as 208.12; redesignated from 208.10","5482",39,"1974"
"29","208.12","Redesignated from 208.11","5482",39,"1974"
"30","210.2","Footnote 2 revised","32011",39,"1974"
"31","212.3","Introductory text revised; (g) added","18641",39,"1974"
"32","212.103","Added","18641",39,"1974"
"33","213.7(b)","amended","20056",39,"1974"
"34","213.7(a)","revised","41984",39,"1974"
"35","217.1(e)(1)","revised","43057",39,"1974"
"36","217.4(d) and (e)","amended","43618",39,"1974"
"37","217.5(c) introductory text and (c)(3)","revised","37768",39,"1974"
"38","217.6(e)","amended","43618",39,"1974"
"39","217.7(b)(1)","amended; (d) added","43056",39,"1974"
"40","217.7(b)","revised; (d) added","43618",39,"1974"
"41","220.2(e)(4)","revised","24221",39,"1974"
"42","220.6(l) (38 FR 34988)","effective date changed to 1-1-75","20960",39,"1974"
"43","220.6(l) (38 FR 34988)","effective date changed to 3-3-75","44739",39,"1974"
"44","220.8(a)(1) and (d)","revised","1006",39,"1974"
"45","220.8(a)(1)","revised","1974",39,"1974"
"46","220.8(h) and (i)","revised","24221",39,"1974"
"47","220.8(g)(3)","added","39433",39,"1974"
"48","221.3(d)(4)","revised","24222",39,"1974"
"49","221.4(a)","revised","1006, 1974",39,"1974"
"50","221.4(d) and (e)","revised","24222",39,"1974"
"51","221.4(f)","revised","39433",39,"1974"
"52","221.122","Revised","9425",39,"1974"
"53","225.3(c)","added","10237",39,"1974"
"54","225.4(a)(12)","added","8318",39,"1974"
"55","225.4(a)(6)(i)","revised","11254",39,"1974"
"56","225.4","Footnotes renumbered","11255",39,"1974"
"57","225.4(a)(6)(ii)","revised","11255",39,"1974"
"58","225.4(a)(4)","revised","19774, 24220",39,"1974"
"59","225.4(a)(12)(ii)","revised","18642",39,"1974"
"60","225.123","(d) removed (see clarification at 40 FR 13304)","11255",39,"1974"
"61","225.131","Added","8318, 21120",39,"1974"
"62","225.132","Added","35128",39,"1974"
"63","226.6","(j) and (k) removed; (l) redesignated as (j)","2755",39,"1974"
"64","226.7","(f) removed","2755",39,"1974"
"65","226.602","Removed","2755",39,"1974"
"66","226.605","Removed","2755",39,"1974"
"67","250.250","Added","28975",39,"1974"
"68","250.260","Added","45254",39,"1974"
"69","265.2","(f)(29) added","10236",39,"1974"
"70","265.2","(f)(22), (24), and (28) revised; (f)(30) added","13070",39,"1974"
"71","265.2","(f)(31) and (32) added","28517",39,"1974"
"72","265.2","(c)(13) and (18) removed; (c)(14) through (.17) redesignated as (c)(13) through (16); (h) added","30829",39,"1974"
"73","270.4","(c)(2) revised","11873",39,"1974"
