Part,Change,Page
208,"Authority citation revised","27771"
208.13,"Revised","32831"
208.18,"Added","27771"
208.19,"Added; (a) eff. 1-25-91","52986"
208.125—208.127,"Redesignated from 250.101—250.103","52987"
208,"Appendix A amended","32831"
208,"Appendix B added","32831"
210,"Heading and authority citation revised","40801"
210,"Authority citation corrected","47428"
210.25—210.32 (Subpart B),"Revised","40801"
210.25,"(b)(3) corrected","47428"
210.26,"(e) and (f) corrected","47428"
210.29,"(b) corrected","47428"
210.25—210.32 (Subpart B),"Appendix A corrected","47428"
210.25—210.32 (Subpart B),"Appendix B corrected","47428"
220,"OTC margin stock list","2631, 18591, 31367, 46040"
220.2,"(i) through (y) redesignated as (k) through (aa); new (q)(4), (5), (t)(3), (4)(iii) amended; new (i), (j), (q)(6) and (t)(5) added","11159"
220.4,"(c)(1) amended","11159"
220.5,"(g) added","11159"
220.8,"(b)(1) introductory text revised; (b)(1)(i) through (iv); (c) redesignated as (b)(1)(i)(A) through (iv)(3); new (b)(1)(i) and (ii) added","11159"
220.13,"(a), (b) and (c) amended; (d) added","11160"
220.17,"(a) and (b) amended; (c), (d), and (e) redesignated as (e), (f), and (g); Heading, (a) heading, (b) heading, new (e), (f), and (g) revised; new (c) and (d) added","11160"
220.18,"(a) and (b) amended","11160"
220.131,"Added","29566"
221,"OTC margin stock list","2631, 18591, 31367, 46040"
224,"OTC margin stock list","2631, 18591, 31367, 46040"
225,"Authority citation revised","6790, 27771, 47743"
225.4,"(d) redesignated as (d)(1); new (d)(1) heading revised; (d)(2) added","47743"
225.42,"(a) redesignated as (a)(1) and amended; (a)(2) added","47845"
225.61—225.67 (Subpart G),"Added","27771"
