Part,Change,Page
```csv
Code Part,Change,Page
Appendix E,Amended,19037
Appendix E,Amended,19038
Appendix D-2,Revised,66704
Appendix D-2,Revised,66705
211.26,(c)(2)(i)(C)(2) and (ii) revised,56952
211.604,Added,58781
212.2,(b) and (f) removed; (c) through (r) redesignated as (b) through (p),51679
212.3,(b) and (c) revised,51679
212.5,Revised,51679
212.6,Revised,51679
212.7,(a) revised,51679
213,Supplement I amended,16613
213,Supplement I amended,16614
220,OTC margin stock lists,8711
220,OTC margin stock lists,46559
225,Appendix A amended,10203
226,Dollar amount adjustment notice,60335
226,Supplement I amended,16616
226,Supplement I amended,16617
229.19,(g) redesignated as (g)(1); new (g)(1) heading and (2) added,14577
229.36,(c) removed,59613
229.40,Existing text designated as (a); (a) heading and (b) added,14577
229,Appendix E amended,59613
230.6,(c) added; interim,49848
262.3,(b)(1)(ii) amended; (b)(1)(ii)(A) removed; (b)(1)(ii)(B) revised,53188
263.302,Regulation at 63 FR 55486 confirmed,66707
```
