"Part","Change","Page","FedReg_Number","Year"
"202.12","(b)(6) added; eff. 1-30-98","66419",62,"1997"
"202.15","Added; eff. 1-30-98","66419",62,"1997"
"202","Supplement I added; eff. 1-30-98","66419",62,"1997"
"203.3","(a)(1)(ii) amended","36043",62,"1997"
"203.3","(a)(1)(ii) revised","28623",62,"1997"
"203.5","(b) and (e) revised; (c) amended","28623",62,"1997"
"203","Appendix A and Supplement I amended","3604",62,"1997"
"203","Appendix A amended","28623, 28624",62,"1997"
"203","Supplement I amended","28626, 66260",62,"1997"
"203","Appendix A correctly amended","33340",62,"1997"
"204.3","(b) revised","34616",62,"1997"
"204.3","(a), (b)(1), (2)(i) and (i) revised","59778",62,"1997"
"204.9","Revised","61622",62,"1997"
"205","Authority citation revised","43469",62,"1997"
"205.15","(a) revised","43469",62,"1997"
"207","OTC margin stock lists","3773, 22881, 40257, 55495",62,"1997"
"208","Authority citation revised","6452, 13285, 47735",62,"1997"
"208.8","(k) removed","9911",62,"1997"
"208.24","Added","9911",62,"1997"
"208.25","Added","13285",62,"1997"
"208.26","Added; interim","6452",62,"1997"
"208.28","Added","47735",62,"1997"
"208.129","Added","13285",62,"1997"
"208","(b) corrected","15601",62,"1997"
"208","Appendix E amended; interim","68067, 68068",62,"1997"
"209.15","Added","34616",62,"1997"
"210.2","(a) and (b) through (p) redesignated as (b) and (d) through (r); new (a) and (c) added; new (d), new (g) introductory text and (2) revised; eff. 1-2-98","48171",62,"1997"
"210.3(a)","Amended; eff. 1-2-98","48171",62,"1997"
"210.4","Revised; eff. 1-2-98","48171",62,"1997"
"210.5","(a)(1) and (c) revised; (d) amended; eff. 1-2-98","48171",62,"1997"
"210.6","(a)(1) and (b) revised; eff. 1-2-98","48172",62,"1997"
"210.7","(c) introductory text and (d) revised; eff. 1-2-98","48172",62,"1997"
"210.8","Revised; eff. 1-2-98","48172",62,"1997"
"210.9","(a) through (e) redesignated as (b) through (f); new (a) added; new (b) and new (c) revised; new (f) amended; eff. 1-2-98","48172",62,"1997"
"210.10","Revised; eff. 1-2-98","48173",62,"1997"
"210.11(b)","Amended; eff. 1-2-98","48173",62,"1997"
"210.12","(a), (b), (c)(1) (f) and (h) revised; (d), (g) and (i) amended; eff. 1-2-98","48173",62,"1997"
"211","Authority citation revised","13286, 47736",62,"1997"
"211.22(d)","Added","47736",62,"1997"
"211.24","Heading revised; (h) added","13286",62,"1997"
"213","Compliance date delay","51006, 53733",62,"1997"
"213.1(a)","Revised","15367",62,"1997"
"213.2(f)","Amended","15367",62,"1997"
"213.4","(b), (f)(1), (n), (o)(1) heading and (2) heading revised; (t) added","15367",62,"1997"
"213.5(d)(1)","Revised","15367",62,"1997"
"213.7","(d)(1)(ii) and (2)(iv) removed; (d)(1)(iii), (2)(v) and (vi) redesignated as (d)(1)(ii), (2)(iv) and (v); (b)(1), (d)(1)(i), (2)(ii), (iii), new (iv) and new (v) revised","15367",62,"1997"
"213","Appendix A amended","15369",62,"1997"
"213","Supplement I revised","16058",62,"1997"
"215.2","(d) introductory text, (1), (2) and (3) redesignated as (d)(1) introductory text, (i), (ii) and (iii); new (d)(2), new (3) and (e)(3) added","13298",62,"1997"
"215.4(a)(2)","Introductory text revised","13298",62,"1997"
"217.101(a)(1)","Amended; (b) added","26737",62,"1997"
"220","OTC margin stock lists","3773, 22881, 40257, 55495",62,"1997"
"221","OTC margin stock lists","3773, 22881, 40257, 55495",62,"1997"
"224","OTC margin stock lists","3773, 22881, 40257, 55495",62,"1997"
"225.1—225.7 (Subpart A)","Revised","9319",62,"1997"
"225.11—225.17 (Subpart B)","Revised","9324",62,"1997"
"225.21—225.28 (Subpart C)","Revised","9329",62,"1997"
"225.24","(d)(2) revised; (d)(3) and (4) redesignated as (d)(4) and (5); new (d)(3) added","60640",62,"1997"
"225.25","(b)(1) revised","60640",62,"1997"
"225.31","(d)(2)(ii) amended","9338",62,"1997"
"225.32","Removed","9338",62,"1997"
"225.41-225.44 (Subpart E)","Revised","9338",62,"1997"
"225.51","Removed","9341",62,"1997"
"225.61-225.67 (Subpart G)","Heading revised","9341",62,"1997"
"225.71-225.73 (Subpart H)","Revised","9341",62,"1997"
"225.125","(f) and (g) revised","9343",62,"1997"
"225.145","(a) amended","9343",62,"1997"
"225.200","Undesignated center heading and section added","45306",62,"1997"
"225","Appendix C revised","9343",62,"1997"
"225","Appendix E heading revised; amended; interim","68068",62,"1997"
"226.19","(b)(2)(viii) and (ix) revised; (b)(2)(x) removed; (b)(2)(xi), (xii) and (xiii) redesignated as (b)(2)(x), (xi) and (xii)","63443",62,"1997"
"226","Appendix H heading revised; amended","63444",62,"1997"
"226","Appendix H corrected","66179",62,"1997"
"226","Supplement I amended","10196-10199, 63445, 63446",62,"1997"
"229.2","(e) concluding text and (s) revised; (pp) redesignated as (qq); new (pp) added","13809",62,"1997"
