"Part","Change","Page","year","fedreg_number"
"201.4","(e) added","07-71203",2007,72
"201.51","(a) and (b) revised","07-48549, 07-54814, 07-63097, 07-71756",2007,72
"201.51","(b) table correctly amended","07-56890",2007,72
"201.51","(e) added","07-71203",2007,72
"202.4","(d) revised","07-63451",2007,72
"202.9","(h) removed","07-63451",2007,72
"202.16","Removed; new 202.16 redesignated from 202.17","07-63451",2007,72
"202.17","Redesignated as new 202.16","07-63451",2007,72
"202","Appendix A amended","07-55020",2007,72
"202","Supplement I amended","07-63451",2007,72
"202","Supplement I amended; eff. 1-14-08","07-71057",2007,72
"203","Supplement I amended","07-72235",2007,72
"204.9","Revised","07-55656",2007,72
"204.121","(a)(2)(iii) amended","07-16990",2007,72
"205.4","(a)(1) revised; (c) removed; (d) and (e) redesignated as new (c) and (d)","07-63456",2007,72
"205.9","(a) introductory text revised; (e) added","07-36593",2007,72
"205.17","Removed","07-63456",2007,72
"205","Supplement I amended","07-36593, 07-63456",2007,72
"208.64","(b) revised; interim","07-17802",2007,72
"208.64","Regulation at 72 FR 17802 confirmed","07-54349",2007,72
"208","Appendix F added and amended; eff. 4-1-08","07-69430",2007,72
"211.26","(c)(2)(i)(A) revised; interim","07-17803",2007,72
"211.26","Regulation at 72 FR 17803 confirmed","07-54349",2007,72
"212.2","(j)(1)(iii) and (vi) amended; interim","07-1276",2007,72
"212.2","Regulation at 72 FR 1276 confirmed","07-38755",2007,72
"212.3","(b) amended; interim","07-1276",2007,72
"212.3","Regulation at 72 FR 1276 confirmed","07-38755",2007,72
"213.3","(a) introductory text revised; (a)(5) removed","07-63461",2007,72
"213.6","Removed","07-63461",2007,72
"213.7","(c) revised","07-63461",2007,72
"213","Supplement I amended","07-63461",2007,72
"215","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.1--215.13 (Subpart A)","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.1","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.2","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.9","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.10","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.11","Regulation at 71 FR 71474 and 71475 confirmed","07-30472",2007,72
"215.12","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.13","Regulation at 71 FR 71474 confirmed","07-30472",2007,72
"215.1--215.13 (Subpart A)","Regulation at 71 FR 71475 confirmed","07-30472",2007,72
"215.20--215.23 (Subpart B)","Regulation at 71 FR 71475 confirmed","07-30472",2007,72
"218","Added","07-56554",2007,72
"220.132","Introductory text correctly amended","07-70486",2007,72
"222","Authority citation revised","07-62954",2007,72
"222.1","(a) added; (b)(2)(i) revised","07-62954",2007,72
"222.3","Introductory text revised","07-63756",2007,72
"222.20--222.28 (Subpart C)","Added","07-62955",2007,72
"222.80--222.83 (Subpart I)","Heading revised","07-63756",2007,72
"222.82","Added","07-63756",2007,72
"222.90--222.91 (Subpart J)","Added","07-63757",2007,72
"222","Appendix C added","07-62962",2007,72
"222","Appendix J added","07-63758",2007,72
"225","Appendix G added and amended; eff. 4-1-08","07-69431",2007,72
"226.5","(a)(1) revised; (a)(5) removed","07-63473",2007,72
"226.5a","(a)(2)(v) added","07-63473",2007,72
"226.5b","(a)(3) added; (c)(1) heading and (2) removed; (c)(1) redesignated as (c)","07-63474",2007,72
"226.15","(b) introductory text amended","07-63474",2007,72
"226.16","(c) revised","07-63474",2007,72
"226.17","(a)(1) and (g) revised; (a)(3) removed","07-63474",2007,72
"226.19","(c) added","07-63474",2007,72
"226.23","(b)(1) amended","07-63474",2007,72
"226.24","(d) revised","07-63474",2007,72
"226.31","(b) revised","07-63475",2007,72
"226.36 (Subpart F)","Removed","07-63475",2007,72
"226","Supplement I amended","07-44033, 07-63475",2007,72
"226","Supplement I amended; eff. 1-14-08","07-71059",2007,72
"227.2","(a)(2) revised","07-55021",2007,72
"228.12","(u)(1) correctly revised","07-72573",2007,72
"228.26","(a)(1) heading correctly revised","07-72573",2007,72
"229","Appendix A correctly amended; CFR correction","07-3706",2007,72
"229","Appendix A amended","07-27952, 07-34597, 07-46144",2007,72
"229","Appendix B revised","07-27952",2007,72
"230.3","(a) revised; (g) removed","07-63483",2007,72
"230.4","(a)(1)(ii) and (2)(i) revised","07-63483",2007,72
"230.10","Supplement I amended","07-63484",2007,72
"230","Supplement I amended","07-63484",2007,72
