"Part of Federal Regulations","Change","Page of Federal Register"
"201.51","Revised","2195"
"201.51 (a) and (b) revised","8220, 18380, 30216, 50761"
"204.2 (f)(1)(iv)(E)","Revised","45058"
"204.4 (f)","Revised","83317"
"204.10 (b)(1)","Revised","2196, 8221, 18381, 30217, 50762"
"204.125","Heading and introductory text revised","45058"
"208","Policy statement","25479"
"208.112","Added","7851"
"209","Nomenclature change","83318"
"213","Supplement I amended; eff. 2-2-24","83320"
"217.1 (c)(1)","Revised; (g) added; eff. 1-1-24","82967"
"217.2","Amended; eff. 1-1-24","82968"
"217.10 (f)","Added; eff. 1-1-24","82969"
"217.11 (e)","Added; eff. 1-1-24","82969"
"217.306","Added; eff. 1-1-24","82969"
"217.601--217.608 (Subpart J)","Added; eff. 1-1-24","82969"
"226","Supplement I amended; eff. 1-1-24","83314, 83324"
"228.12 (u)(1)","Revised; eff. 1-1-24","87896"
"238.111--238.117 (Subpart L)","Removed; eff. 4-1-24","89909"
"238.142 (a)(1)","Introductory text revised; (a)(3) added; eff. 1-1-24","82979"
"252.53 (a)(1)","Introductory text revised; (a)(3) added; eff. 1-1-24","82980"
"253","Added","5220"
"263","Authority citation revised; eff. 4-1-24","89909"
"263.1--263.41 (Subpart A)","Revised; eff. 4-1-24","89909"
"263.50--263.57 (Subpart B)","Revised; eff. 4-1-24","89909"
"263.65","Revised","1497"
"263.450--263.457 (Subpart K)","Added; eff. 4-1-24","89921"
"263 Appendix A","Added; eff. 4-1-24","89923"
"265.4","Correction: (a)(3)(i) amended","32622"
"265.6","Correction: (d)(1) amended","80109"
"265.7","Correction: (d)(7)(ii)(E)(1), (j)(3)(i), (k)(3)(ii)(A), (iii)(A), (B), and (5)(iii)(M) amended; (e)(9) and (r) added","32622"
"265.7","Correction: (c)(7)(iii), (iv), (d)(7)(ii)(B)(3), (e)(5), (j)(1)(viii), (k)(1)(ii)(E), (F), and (7)(i) amended; (c)(7)(v), (k)(1)(ii)(G), (H), and (8) added","80109"
"265.8","Correction: (c)(2) and (3) amended","80109"
"265.10","Correction: (b) revised","32622"
"265.10","Correction: (b) redesignated as (c); new (b) added","80109"
"265.11","Correction: (a)(1) amended","32622"
"265.13","Correction: (b)(1)(i) amended","32622"
"265.20","Correction: (a)(6)(i), (c)(6)(iv)(E), (14)(xvi), (l)(1)(i)(A), and (B) amended","32622"
