"Part of Code","Change","Page of Federal Register"
"201.51 (a), (b) and (c)","Revised","03-1794, 03-41054"
"202","Revised","03-13161"
"202 Appendix B","Amended","03-53491"
"203 Supplement I","Amended","03-31592"
"203.2 (c)(2), (e)(1)(ii), (2)(ii) and (j)","Revised","03-74830"
"203.4 (a)(9) and (e)","Revised","03-74830"
"203.5 (b)(3)(i), (ii), (c), (e) and (f)","Revised","03-74830"
"203 Appendix C","Corrected","03-14476"
"Appendix A","Amended","03-74831"
"204.9","Revised","03-57790"
"206 Authority","Citation Revised","03-53283"
"206.1 (a)","Amended","03-53283"
"206.2 (f) and (g)","Amended","03-53283"
"206.3 (c)(1)","Amended","03-53283"
"206.4 (b)","Amended","03-53283"
"206.5 (a) Footnote 1 and (f)","Amended; (f)(i), (ii) and (iii) Redesignated as (f)(1), (2) and (3)","03-53283"
"206.7","Removed","03-53283"
"208.36 (a)","Revised","03-4096"
"208.63 (b)","Revised","03-25111"
"208 Appendix A","Amended; interim","03-56535"
"211 Authority","Citation Revised","03-25112"
"211.5 (m)","Added","03-25112"
"211.24 (j)","Added","03-25112"
"211.41","Revised","03-1159"
"211.42","Revised","03-1159"
"211.43","Revised","03-1159"
"211.44","Revised","03-1159"
"211.45","Revised","03-1159"
"211.605","Added","03-7899"
"220 OTC margin stock lists","NA","03-8993, 03-52486"
"222","Added; interim","03-74469"
"225.28 (b)(8)(ii)(B)","Revised","03-39810"
"(b)(8)(ii)(B)","Corrected","03-41901"
"(b)(14)","Revised; eff. 1-8-04","03-68499"
"225 Appendix A","Amended; interim","03-56535"
"226 Supplement I","Amended","03-16189, 03-50965"
"229","Technical correction","03-37957"
"229 Appendix A","Amended","03-31596, 03-52078"
"Appendices A and E","Amended","03-52078"
"Appendix E","Corrected","03-53672"
"263 Authority","Citation Revised","03-48267"
"263.94 (a) and (b)","Revised","03-48267"
"263.400--263.405 (Subpart J)","Added","03-48267"
"264b","Revised; eff. 1-9-04","03-68721"
"268","Revised","03-18085"
"272.3 (c)","Revised","03-6061"
