"Part of the code of federal regulations","What was changed","Page of the Federal Register"
"201.51 (a) and (b)","Revised","05-6763, 05-16095, 05-24303, 05-39411,05-48269, 05-56564, 05-69044, 05-75386"
"203 Supplement 1","Amended","05-75719"
"204.9","Revised","05-58604"
"208 Appendix A","Amended","05-11834"
"Appendix D-2","Amended","05-15753"
"210.5 (a)(3)","Revised; eff. 7-1-06","05-71224"
"210.6 (b)(2)","Revised; eff. 7-1-06","05-71225"
"210.9 (b)(5)","Revised; eff. 7-1-06","05-71225"
"222 Authority citation","Revised","05-33979, 05-70678"
"222.2","Added; interim; eff. 3-7-06","05-33979"
"Regulation at 70 FR 33979 eff. date delayed to 4-1-06","Added; eff. 4-1-06","05-70678"
"Correctly revised","","05-75931"
"222.3","Added; interim; eff. 3-7-06","05-33979"
"Regulation at 70 FR 33979 eff. date delayed to 4-1-06","Added; eff. 4-1-06","05-70678"
"Correctly revised","","05-75931"
"222.30--222.32 (Subpart D)","Added; interim; eff. 3-7-06","05-33979"
"Regulation at 70 FR 33979 eff. date delayed to 4-1-06","Added; eff. 4-1-06","05-70679"
"Correctly revised","","05-75931"
"225 Authority citation","Revised","05-15753"
"Policy statement","","05-59987"
"225 Appendix A","Amended","05-11834"
"Appendix D","Amended","05-11838"
"Appendix F","Amended","05-15753"
"Appendix A","Corrected","05-20704"
"226 Supplement I","Amended","05-46067"
"228.12 Regulation at 69 FR 41187","Confirmed","05-15574"
"228.26","Revised","05-44268"
"228.27 Regulation at 69 FR 41187","Confirmed","05-15574"
"228.28 (c)","Revised","05-44268"
"228.41 Regulation at 69 FR 41187","Confirmed","05-15574"
"228.42 Regulation at 69 FR 41187","Confirmed","05-15574"
"228 Appendix A","Amended","05-44268"
"229.2 (fff)","Added; eff. 7-1-06","05-71225"
"229.34 (d), (e) and (f)","Redesignated as (e), (f) and (g); new (d) added; eff. 7-1-06","05-71225"
"229.43 (b)(3)","Revised; eff. 7-1-06","05-71225"
"229 Appendix A","Amended","05-7380, 05-8717, 05-21133, 05-47086"
"Technical correction","","05-48842"
"Appendix A","Amended; eff. in part 1-21-06 and 2-11-06","05-60420"
"Appendix A","Amended; eff. in part 3-31-06","05-75000"
"Appendix E","Amended; eff. 7-1-06","05-71225"
"Appendix A","Amended; eff. 2-25-06","05-73129"
"230.2 (b)","Revised; eff. 7-1-06","05-29593"
"230.6 (a)(3)","Revised; eff. 7-1-06","05-29593"
"230.8 (a)","Revised; (f) added; eff. 7-1-06","05-29593"
"230.11","Added; eff. 7-1-06","05-29593"
"230 Supplement I","Amended; eff. 7-1-06","05-29594"
"232","Added; interim; eff. 3-7-06","05-33982"
"Regulation at 70 FR 33982 eff. date delayed to 4-1-06","Added; eff. 4-1-06","05-70682"
"Correctly revised","","05-75931"
"263.1 (f)","Amended; (g) redesignated as (h); new (g) added","05-69638"
"264a","Added","05-69638"
"268.205","Revised; interim","05-67643"
"271.3 (c)","Amended","05-7840"
"271.4 (c)","Revised","05-7480"
"271.8 (a)","Revised; (b) amended","05-7840"
"272.3 (a) and (e)","Amended; (b) and (d) revised","05-7840"
"272.4 (c)","Amended; (d) redesignated as (e); new (d) added","05-7841"
"281 Authority citation","Revised","05-7841"
"281.1","Removed; new 281.1 redesignated from 281.2","05-7841"
"281.2","Redesignated as 281.1","05-7841"
