"Part of Code of Federal Regulations","What was changed","Page of Federal Register"
"201.51 (a) and (b)","revised","08-5728, 08-7202, 08-15862, 08-25505, 08-61657, 08-65967, 08-79307"
"202 Appendix A","amended","08-33663, 08-53685"
"203.4 (a)(12) and (13)","revised; eff. 10-1-09","08-63335"
"203 Appendix A","amended; eff. 10-1-09","08-63335"
"Supplement I","amended; eff. 10-1-09","08-63336"
"Supplement I","amended","08-78616"
"204.4","Removed; interim","08-59485"
"204.9","Revised","08-57490"
"204.10","Added; interim","08-59485"
"(b)(2)","revised; interim","08-65507"
"(b)(1) and (2)","revised","08-67714"
"(b)","revised; interim","08-78617"
"208 Technical","correction","08-21690"
"Policy statement","","08-44620"
"208 Appendices A and B","amended; interim","08-55707"
"Appendix A","amended; eff. 1-29-09","08-79606"
"218.701 (b)","revised","08-20780"
"218.721 (a)(6) and (7); (c)(2)","redesignated as (a)(5) and (6); revised","08-20780"
"218.723 (e)(3)","revised","08-20780"
"218.741 (a)(1)(A) and (B)","redesignated as(a)(1)(i) and (ii)","08-20780"
"218.775 (b)(1)(i)","revised","08-20780"
"223.42 (n)","added; interim","08-54308, 08-55709"
"223.56","Added; interim","08-55709"
"225 Technical","correction","08-21690"
"Policy statement","","08-44620"
"225 Appendices A and D","amended; interim","08-55708"
"Appendix A","amended; interim","08-62853"
"Appendix A","correctly amended; interim","08-63624"
"Appendix A","amended; eff. 1-29-09","08-79606"
"226 Authority","citation revised","08-44599"
"226.1 (d)(5)","revised; eff. 10-1-09","08-44599"
"226.2 (a)(6)","revised; eff. 10-1-09","08-44599"
"226.16 (d)(2), (3) and (4); (d)(6) and (e)","revised; added; eff. 10-1-09","08-44599"
"226.17 (b) and (f)","revised; eff. 10-1-09","08-44600"
"226.19 Heading and (a)(1)","revised; eff. 10-1-09","08-44600"
"226.23 (a)(3)","footnote 48 revised; eff. 10-1-09","08-44601"
"226.24 (b), (c) and (d)","redesignated as (c), (d) and (e); new (b) and (f) through (i) added; footnote 49 removed; eff. 10-1-09","08-44601"
"226.32 (d)(6) and (7)","revised; eff. 10-1-09","08-44602"
"226.34 Heading and (a)(4)","revised; eff. 10-1-09","08-44603"
"226.35","Added; eff. 10-1-09 and 4-1-10 in part","08-44603"
"226.36","Added; eff. 10-1-09","08-44604"
"226 Supplement I","amended; eff. 10-1-09","08-44604"
"Supplement I","amended","08-46191"
"228.12 (u)(1)","revised","08-78154"
"229 Appendix A","amended","08-1269, 08-28320, 08-41236, 08-47818, 08-52909"
"Appendix B","revised","08-1269"
"Appendix A","amended; Appendix B removed","08-8788"
"Appendix A","amended; eff. 1-31-09","08-70591"
"Appendix A","amended; eff. 2-21-09","08-77492"
"233","Added; eff. 1-19-09","08-69405"
"239.36 Form F-6","amended","08-52767"
"240.12g3-2 (b), (c) and (d); (e) and (f)","revised; removed","08-52768"
"240.15c2-11 (a)(4)","revised","08-52768"
"249.240f Form 40-F","amended","08-52768"
"249.306 Form 6-K","amended","08-52768"
"249.324 Form 15F","amended","08-52769"
"263 Authority","citation revised","08-58032"
"263.65","Revised","08-58032"
"268.205","Regulation at 71 FR 44558 confirmed","08-17886"
"(a)(3), (9)(iii)(C) and (D); (c)(4)(i); (c)(5)","amended; revised; redesignated as (c)(6); (a)(9)(iii)(E) and new (c)(5) added","08-17887"
