"Part of the code of federal regulations","What was changed","Page of the Federal Register"
"201.51 (a) and (b)","revised","10-9094"
"203 Supplement I","amended","10-80675"
"204.2 (dd)","revised","10-24389"
"204.4 (f)","revised","10-65564"
"204.10 (b)(3) revised; (e)","added","10-24389"
"205.3 (a)","revised","10-16613"
"205.4 (a)(1)","revised","10-16613"
"205.12 (b)(1)","revised","10-16614"
"205.17 (b)(1) revised; (b)(4)","removed","10-31671"
"(b)(1) introductory text","correctly revised","10-33681"
"205.20","Added","10-16614"
"(c)(2) and (g)(1) revised; (h)","added; interim","10-50687"
"Regulation at 75 FR 50687","confirmed; (h) revised","10-66648"
"205 Supplement I","amended","10-16615, 10-31671, 10-66649"
"Supplement I","amended; interim","10-50688"
"Regulation at 75 FR 50688","confirmed","10-66648"
"208 Authority citation","revised","10-44688"
"Technical correction","","10-51623"
"208.100--208.101 (Subpart I) Redesignated as 208.110--208.111 (Subpart J)","","10-44688"
"208.101--208.105 (Subpart I)","Added","10-44688"
"208.110--208.111 (Subpart J) Redesignated from 208.100--208.101 (Subpart I)","","10-44688"
"208.111 Footnotes 7 and 8 redesignated as footnotes 8 and 9; new footnote 9","revised","10-44692"
"208 Appendices A and F","amended","10-4647"
"211 Authority citation","revised","10-44692"
"Technical correction","","10-51623"
"211.24 (k)","added","10-44692"
"222 Authority citation","revised","10-2752"
"222.70--222.75 (Subpart H)","Added","10-2752"
"222 Appendix H","added","10-2759"
"225 Appendix A","amended","10-4648"
"Appendix G","amended","10-4649"
