"Chapter II Policy statement","Changes","12049"
"201 Authority citation revised","Changes","512"
"201.51 (a) and (b) revised","Changes","512, 39724, 52753, 59924"
"204.4 (f) revised","Changes","64706"
"204.10 (b)(5) revised","Changes","513, 20542, 39725, 52754, 59926"
"206.2 (g) revised","Changes","61796"
"206.5 (a)(4) added","Changes","61796"
"208 Authority citation revised","Changes","29051, 61796"
"208.2 (d) revised","Changes","4240"
"208.2 Regulation at 84 FR 4240 eff. date delayed to 7-1-19","Changes","11879"
"208.2 (d)(3) added","Changes","61796"
"208.25 (b)(7) through (11) revised; (b)(12), (13), (14), and (c)(3) added","Changes","4970"
"208.43 (a) and (b) revised","Changes","61796"
"208.43 Correction: (a), (b) introductory text, and (1) revised","Changes","70887"
"208.101--208.105 (Subpart I) Removed","Changes","21692"
"208.120--208.124 (Subpart K) Added","Changes","29051"
"209 Nomenclature change; eff. 1-15-2020","Changes","68326"
"211 Nomenclature change","Changes","61797"
"211.2 (c)(1) revised","Changes","4241"
"211.2 Regulation at 84 FR 4241 eff. date delayed to 7-1-19","Changes","11879"
"211.2 (b), (c), and (x) revised","Changes","61797"
"211.9 (a) footnote 5 redesignated as (a) footnote 1","Changes","61797"
"211.24 (k) removed","Changes","21692"
"211.43 (c)(4) revised","Changes","4241"
"211.43 Regulation at 84 FR 4241 eff. date delayed to 7-1-19","Changes","11879"
"212.3 (c) amended","Changes","54471"
"213 Supplement I amended","Changes","58018"
"215.2 (i) revised","Changes","4241"
"215.2 (i)(3) added","Changes","61797"
"215.2 Regulation at 84 FR 4241 eff. date delayed to 7-1-19","Changes","11879"
"217 Authority citation revised","Changes","61797"
"217.1 (f)(5) added","Changes","59269"
"217.2 Amended","Changes","4241, 35259, 59270"
"217.2 Regulation at 84 FR 4241 eff. date delayed to 7-1-19","Changes","11879"
"217.2 Amended; eff. 4-1-20","Changes","68032"
"217.10 (c)(3)(ii)(A) amended","Changes","4242"
"217.10 Regulation at 84 FR 4242 eff. date delayed to 7-1-19","Changes","11879"
"217.10 (c)(4)(ii)(H) revised","Changes","35259"
"217.10 (a)(5), (c) introductory text, and (4)(i) introductory text revised","Changes","59271"
"217.10 (a) revised","Changes","61797"
"217.11 (a)(2)(i), (iv), (3)(i), and Table 1 revised","Changes","35259"
"217.11 (b)(1) introductory text and (ii) revised","Changes","59271"
"217.12 Added","Changes","61797"
"217.20 (d)(3) amended","Changes","4242"
"217.20 Regulation at 84 FR 4242 eff. date delayed to 7-1-19","Changes","11879"
"217.20 (b)(1)(iii), (4), (c)(2), (d)(2), and (5) revised; (f) added","Changes","35260"
"217.21 Revised; eff. 4-1-20","Changes","35260"
"217.21 Regulation at 84 FR 35260 eff. date revised as 1-1-20","Changes","61804"
"217.22 (c) footnote 23 amended","Changes","4242"
"217.22 Regulation at 84 FR 4242 eff. date delayed to 7-1-19","Changes","11879"
"217.22 (a)(1)(i), (c), (d), (g), and (h) revised; eff. 4-1-20","Changes","35261"
"217.22 (b)(2)(ii) revised","Changes","59271"
"217.22 (f) revised","Changes","61798"
"217.22 Regulation at 84 FR 35261 eff. date revised as 1-1-20","Changes","61804"
"217.32 (b), (d)(2), (3)(ii), (k), and (l) revised","Changes","35264"
"217.34 (c) revised","Changes","35265"
"217.35 (b)(3)(ii), (4)(ii), (c)(3)(ii), and (4)(ii) revised","Changes","35266"
"217.36 (c) revised","Changes","35266"
"217.37 (b)(2)(i) revised","Changes","35266"
"217.38 (e)(2) revised","Changes","35266"
"217.42 (j)(2)(ii)(A) revised","Changes","35266"
"217.52 (b)(1) and (4) revised","Changes","35266"
"217.61 Revised","Changes","35267"
"217.63 Table 5 amended","Changes","4242"
"217.63 Regulation at 84 FR 4242 eff. date delayed to 7-1-19","Changes","11879"
"217.63 Table 3 and Table 8 revised","Changes","35267"
