Part.Number,Part.Number.Start,Part,Subpart,Part.Number.End,Change,Page,FedReg_Number,Year,Action
201.1,201.1,201,1,NA,unknown,884,14,1949,Unknown
201.2,201.2,201,2,NA,unknown,884,14,1949,Unknown
204.5,204.5,204,5,NA,unknown,"2231, 3742, 5005",14,1949,Unknown
204.102,204.102,204,102,NA,unknown,7727,14,1949,Unknown
206.17,206.17,206,17,NA,unknown,2785,14,1949,Unknown
206.105,206.105,206,105,NA,unknown,3992,14,1949,Unknown
217.101,217.101,217,101,NA,unknown,7727,14,1949,Unknown
220.3,220.3,220,3,NA,unknown,2083,14,1949,Unknown
220.4,220.4,220,4,NA,unknown,"2083, 2659, 4664",14,1949,Unknown
220.6,220.6,220,6,NA,unknown,2659,14,1949,Unknown
220.8,220.8,220,8,NA,unknown,1515,14,1949,Unknown
220.104,220.104,220,104,NA,unknown,4858,14,1949,Unknown
220.106,220.106,220,106,NA,unknown,4665,14,1949,Unknown
220.107,220.107,220,107,NA,unknown,4857,14,1949,Unknown
220.108,220.108,220,108,NA,unknown,5505,14,1949,Unknown
206.106,206.106,206,106,NA,unknown,3501,15,1950,Unknown
222.1-222.9,222.1,222,1,222.9,unknown,6118,15,1950,Unknown
222.6,222.6,222,6,NA,unknown,6931,15,1950,Unknown
222.9,222.9,222,9,NA,unknown,6931,15,1950,Unknown
222.101,222.101,222,101,NA,unknown,6217,15,1950,Unknown
222.102,222.102,222,102,NA,unknown,6540,15,1950,Unknown
222.103-222.106,222.103,222,103,222.106,unknown,6630,15,1950,Unknown
222.107-222.111,222.107,222,107,222.111,unknown,6985,15,1950,Unknown
222.112,222.112,222,112,NA,unknown,7245,15,1950,Unknown
222.113-222.114,222.113,222,113,222.114,unknown,7315,15,1950,Unknown
222.115-222.117,222.115,222,115,222.117,unknown,7755,15,1950,Unknown
222.118,222.118,222,118,NA,unknown,7827,15,1950,Unknown
222.119-222.123,222.119,222,119,222.123,unknown,8075,15,1950,Unknown
222.124-222.125,222.124,222,124,222.125,unknown,8559,15,1950,Unknown
222.126,222.126,222,126,NA,unknown,8856,15,1950,Unknown
222.127-222.128,222.127,222,127,222.128,unknown,9383,15,1950,Unknown
223,223,223,NA,NA,unknown,6630,15,1950,Unknown
234.2-234.3,234.2,234,2,234.3,unknown,6218,15,1950,Unknown
234.4,234.4,234,4,NA,unknown,6218,15,1950,Unknown
234.5,234.5,234,5,NA,unknown,6218,15,1950,Unknown
234.7,234.7,234,7,NA,unknown,6817,15,1950,Unknown
225.5,225.5,225,5,NA,unknown,7831,15,1950,Unknown
225.6,225.6,225,6,NA,unknown,7831,15,1950,Unknown
225.101-225.105,225.101,225,101,225.105,unknown,7179,15,1950,Unknown
225.106-225.109,225.106,225,106,225.109,unknown,7383,15,1950,Unknown
