"X","Part","Change","Page","FedReg_Number","Year"
1,"201","Heading revised","9076",38,1973
2,"201","Redesignated as 201.2 and revised","9076",38,1973
3,"201.1","Revised","9076",38,1973
4,"201.2","Redesignated as 201.3 and revised","9077",38,1973
5,"201.3","Redesignated as 201.4 and revised","9077",38,1973
6,"201.4","Redesignated as 201.5","9077",38,1973
7,"201.5","Redesignated from 201.4 and revised","9077",38,1973
8,"201.6","Revised","9077",38,1973
9,"201.7","Added","9077",38,1973
10,"201.51","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
11,"201.51","Corrected","14369",38,1973
12,"201.52","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
13,"201.52","Corrected","14369",38,1973
14,"201.53","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
15,"201.53","Corrected","14369",38,1973
16,"204.1","Introductory text of (f) revised; (f)(5) added; (g) amended","16651, 33456",38,1973
17,"204.5","(a)(1)(ii) and (2)(ii) and (c) revised","13727",38,1973
18,"204.5","(a)(1)(iii) and (2)(iii) revised","18869",38,1973
19,"204.5","(a)(1)(ii) and (2)(ii) revised","19908, 25985, 34457",38,1973
20,"204.117","Added","16651",38,1973
21,"207.4","(a)(2)(i) revised","26905",38,1973
22,"207.4","(g) added","34652",38,1973
23,"207.5","(a) revised","13548",38,1973
24,"211.108","Added","3585",38,1973
25,"211.108","(a) corrected","4571",38,1973
26,"211.109","Added","5837",38,1973
27,"211.11","Added","14913",38,1973
28,"213.7","Revised","13728",38,1973
29,"213.7","(b) amended","14913",38,1973
30,"213.104","Added","14913",38,1973
31,"216","Appendix A revised","27831",38,1973
32,"217.1","(e)(3) added","34457",38,1973
33,"217.4","(d) revised","18641",38,1973
34,"217.4","(d) amended","20066, 23513",38,1973
35,"217.4","(e) redesignated as (f); new (e) added","26109",38,1973
36,"217.5","(c)(1) amended; (c)(3) revised; (c)(4) added","34457",38,1973
