Part.Number,Change,Page,FedReg_Number,Year
201.51,Revised,"01-2211, 01-9907, 01-18185, 01-20901, 01-29009, 01-35530, 01-45753, 01-49098, 52850, 57848, 65817",66,2001
202,Compliance notification,01-41439,66,2001
202.4,Revised; interim,01-17785,66,2001
202.9,(h) added; interim,01-17785,66,2001
202.17,Added; interim,01-17785,66,2001
202,Supplement I amended; interim,01-17786,66,2001
203,Supplement I amended,01-66295,66,2001
204.9,Revised,01-53078,66,2001
205,Authority citation revised,01-15192,66,2001
205.4,(a) redesignated as (a)(1); (a)(2) added; (c) revised; interim,01-17793,66,2001
205.7,(b)(11) added,01-13412,66,2001
205.16,Added,01-13412,66,2001
205.17,Added; interim,01-17793,66,2001
205,Supplement I and Appendix A amended,01-13412,66,2001
207,Added,01-2092,66,2001
208,Authority citation revised,"01-8634, 01-42933",66,2001
208.3,(d)(1) revised,01-8634,66,2001
208.71--208.77 (Subpart G),Revised,01-42933,66,2001
208.71,(c) revised,01-8749,66,2001
208.77,(e) revised,01-8749,66,2001
208.81--208.86 (Subpart H),Regulation at 65 FR 75841 eff. date delayed,01-15345,66,2001
208.100--208.101 (Subpart I),Regulation at 65 FR 75841 eff. date delayed,01-15345,66,2001
208,Appendix D-2 revised,01-8634,66,2001
211,Authority citation revised,01-8636,66,2001
211.1--211.13 (Subpart A),Revised,01-54374,66,2001
211.5,(h)(2)(ii) revised; (l) added,01-58655,66,2001
211.8,(c)(3)(ii) and (iii) redesignated as (c)(3)(iii) and (iv); new (c)(3)((ii) added,01-58655,66,2001
211.9,Added,01-8636,66,2001
211.20-211.30 (Subpart B),Revised,01-54374,66,2001
211.24,(i) added,01-8636,66,2001
211.31--211.34 (Subpart C),Revised,01-54374,66,2001
213,Compliance notification,01-41439,66,2001
213.3,(a)(5) added; interim,01-17328,66,2001
213.6,Added; interim,01-17328,66,2001
213,Supplement I amended; interim,01-17328,66,2001
220,OTC margin stock lists,"01-11101, 01-44525",66,2001
225,Authority citation amended,"01-414, 01-8636",66,2001
225.1,(c)(9) added,01-414,66,2001
225.2,(r)(2) and (s) revised; (t) added,01-414,66,2001
225.4,(h) added,01-8636,66,2001
225.14,(c)(2)(i) revised,01-415,66,2001
225.23,(c)(2)(i) revised,01-415,66,2001
225.81--225.94 (Subpart I),Revised,01-415,66,2001
225.86,(e) added; interim,01-260,66,2001
225.170--225.177 (Subpart J),Revised,01-8484,66,2001
225,Appendix F added,01-8636,66,2001
226,Compliance notification,01-41439,66,2001
226.1,(b) and (d)(5) revised,01-65617,66,2001
226.5,(a)(5) added; interim,01-17338,66,2001
226.5a,(b)(1)(ii) and (c) revised; (b)(1)(iii) added; interim,01-17338,66,2001
226.5b,(c) redesignated as (c)(1); (c)(1) heading and (2) added; interim,01-17338,66,2001
226.15,(b) introductory text amended; interim,01-17338,66,2001
226.16,(c) revised; interim,01-17338,66,2001
226.17,(a)(3) added; (g) introductory text revised; interim,01-17338,66,2001
226.23,(b)(1) amended; interim,01-17338,66,2001
226.24,(d) revised; interim,01-17338,66,2001
226.27,Revised; interim,01-17339,66,2001
226.31,(b) revised; interim,01-17339,66,2001
226.32,"(a)(1)(i), (b)(1), (c) introductory text, (3) and (d) introductory text revised; (c)(5) and (d)(8) added; (e) removed",01-65617,66,2001
226.34,Added,01-65618,66,2001
226.36 (Subpart F),Added; interim,01-17339,66,2001
226,Supplement I amended; interim,01-17339,66,2001
230,Compliance notification,01-41439,66,2001
230.3,(a) revised; (g) added; interim,01-17802,66,2001
230.4,(a)(1) and (2)(i) revised; interim,01-17802,66,2001
230.6,(c) removed; interim,01-17802,66,2001
230.10,Added; interim,01-17803,66,2001
230,Supplement I amended; interim,01-17803,66,2001
250,Authority citation revised,01-24233,66,2001
250.243,Added,01-24229,66,2001
250.244,Added,01-24299,66,2001
250.245,Added,01-24229,66,2001
250.246,Added,01-24225,66,2001
250.247,Added; interim,01-24233,66,2001
250.248,Added; interim,01-24233,66,2001
261a.13,(b)(9) revised; (c)(11) added,01-19718,66,2001
263,Authority citation revised,01-8637,66,2001
263.302,(a) revised,01-8637,66,2001
265.5,(d)(3) added,01-54397,66,2001
265.6,(f) revised,01-54397,66,2001
265.7,(d)(4) revised; (d)(9) through (14) added,01-54397,66,2001
265.11,(d)(8) and (11) revised; (d)(12) added,01-54398,66,2001
268,Revised; interim,01-7704,66,2001
201,Authority citation revised,02-67785,67,2002
201.1,Revised; eff. 1-9-03,02-67785,67,2002
201.2,Revised; eff. 1-9-03,02-67785,67,2002
201.3,Revised; eff. 1-9-03,02-67785,67,2002
201.4,Revised; eff. 1-9-03,02-67785,67,2002
201.5,Revised; eff. 1-9-03,02-67785,67,2002
201.6,Removed; eff. 1-9-03,02-67787,67,2002
201.7,Removed; eff. 1-9-03,02-67787,67,2002
201.8,Removed; eff. 1-9-03,02-67787,67,2002
201.9,Removed; eff. 1-9-03,02-67787,67,2002
201.51,Revised; eff. 1-9-03,02-67787,67,2002
201.51,Revised,02-69467,67,2002
201.52,Removed; eff. 1-9-03,02-67787,67,2002
203,Revised,02-7236,67,2002
203,Regulation at 67 FR 7236 eff. date delayed to 1-1-04,02-30771,67,2002
203,Technical correction,02-34991,67,2002
203,Supplement I amended,02-79845,67,2002
203.4,(a)(12) revised; (a)(14) added; eff. 1-1-04,02-43223,67,2002
203,Appendix A amended,02-30772,67,2002
204.7,(a)(1) amended; eff. 1-9-03,02-67787,67,2002
204.9,Revised,02-62636,67,2002
208,Appendix A amended,"02-3797, 02-16977",67,2002
208,Appendix B amended,02-3800,67,2002
208,Appendices A and B amended,02-43217,67,2002
208,Appendix A amended; eff. 1-1-04,02-43223,67,2002
208,Appendix B amended; eff. 1-1-04,02-43227,67,2002
"208.7 (b)(2), (3), (4) and (c)(1)",revised; (b)(6) and (7) redesignated as (b)(7) and (8); new (b)(6) added,02-38848,67,2002
208.36,(a) revised; interim,02-57941,67,2002
220,OTC margin stocks lists,"02-8182, 02-53875",67,2002
223,Added; eff. 4-1-03,02-76604,67,2002
225,Appendix A amended,"02-3800, 02-16977",67,2002
225,Appendix D amended,02-3803,67,2002
225,Appendix A corrected,02-34991,67,2002
226.17,(a)(1) footnote 38 amended,02-16982,67,2002
226,Supplement I amended,"02-16982, 02-61769",67,2002
250.160,(b) removed; eff. 4-1-03,02-76622,67,2002
250.240,Removed; eff. 4-1-03,02-76622,67,2002
250.241,Removed; eff. 4-1-03,02-76622,67,2002
250.242,Removed; eff. 4-1-03,02-76622,67,2002
250.243,Removed; eff. 4-1-03,02-76622,67,2002
250.244,Removed; eff. 4-1-03,02-76622,67,2002
250.245,Removed; eff. 4-1-03,02-76622,67,2002
250.246,Removed; eff. 4-1-03,02-76622,67,2002
250.247,Removed; eff. 4-1-03,02-76622,67,2002
250.248,Removed; eff. 4-1-03,02-76622,67,2002
250.250,Removed; eff. 4-1-03,02-76622,67,2002
261a.13,(b)(10) added,02-44526,67,2002
264a,Removed,02-15335,67,2002
201.51,"(a), (b) and (c) Revised","03-1794, 03-41054",68,2003
202,Revised,03-13161,68,2003
202,Appendix B Amended,03-53491,68,2003
203,Supplement I Amended,03-31592,68,2003
203.2,"(c)(2), (e)(1)(ii), (2)(ii) and (j) Revised",03-74830,68,2003
203.4,(a)(9) and (e) Revised,03-74830,68,2003
203.5,"(b)(3)(i), (ii), (c), (e) and (f) Revised",03-74830,68,2003
203,Appendix C Corrected,03-14476,68,2003
203,Appendix A Amended,03-74831,68,2003
204.9,Revised,03-57790,68,2003
206,Authority Citation Revised,03-53283,68,2003
206.1,(a) Amended,03-53283,68,2003
206.2,(f) and (g) Amended,03-53283,68,2003
206.3,(c)(1) Amended,03-53283,68,2003
206.4,(b) Amended,03-53283,68,2003
206.5,"(a) Footnote 1 and (f) Amended; (f)(i), (ii) and (iii) Redesignated as (f)(1), (2) and (3)",03-53283,68,2003
206.7,Removed,03-53283,68,2003
208.36,(a) Revised,03-4096,68,2003
208.63,(b) Revised,03-25111,68,2003
208,Appendix A Amended; interim,03-56535,68,2003
211,Authority Citation Revised,03-25112,68,2003
211.5,(m) Added,03-25112,68,2003
211.24,(j) Added,03-25112,68,2003
211.41,Revised,03-1159,68,2003
211.42,Revised,03-1159,68,2003
211.43,Revised,03-1159,68,2003
211.44,Revised,03-1159,68,2003
211.45,Revised,03-1159,68,2003
211.605,Added,03-7899,68,2003
220,OTC margin stock lists,"03-8993, 03-52486",68,2003
222,Added; interim,03-74469,68,2003
225.28,(b)(8)(ii)(B) Revised,03-39810,68,2003
225.28,(b)(8)(ii)(B) Corrected,03-41901,68,2003
225.28,(b)(14) Revised; eff. 1-8-04,03-68499,68,2003
225,Appendix A Amended; interim,03-56535,68,2003
226,Supplement I Amended,"03-16189, 03-50965",68,2003
229,Technical correction,03-37957,68,2003
229,Appendix A Amended,"03-31596, 03-52078",68,2003
229,Appendices A and E Amended,03-52078,68,2003
229,Appendix E Corrected,03-53672,68,2003
263,Authority Citation Revised,03-48267,68,2003
263.94,(a) and (b) Revised,03-48267,68,2003
263.400--263.405 (Subpart J),Added,03-48267,68,2003
264b,Revised; eff. 1-9-04,03-68721,68,2003
268,Revised,03-18085,68,2003
272.3,(c) Revised,03-6061,68,2003
201.51,(a) and (b) Revised,"04-41389, 04-51002, 04-57836, 04-67635, 04-75819",69,2004
203,Supplement I Amended,04-77139,69,2004
204.9,Revised,04-60545,69,2004
208,Authority citation Revised,04-77617,69,2004
208.3,(d)(1) Revised; eff. 7-1-05,04-77617,69,2004
208,Appendix A Amended; interim,04-22385,69,2004
208,Appendix A Corrected,04-25672,69,2004
208,Appendix A Amended,04-44916,69,2004
208,Appendix E Amended,04-44918,69,2004
208,Appendix D-2 Amended; eff. 7-1-05,04-77617,69,2004
